,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
133,       4336;19510514;-999;-999;-999;    5;   0.4;   1;-999;   0;   7.3;   8.8;    -999;    7.7;   83.00;   13.1;    5.8;    6.0;eor
134,       4336;19510515;-999;-999;-999;    5;   3.3;   1;-999;   0;   7.7;   8.9;    -999;    6.6;   91.00;    8.1;    5.0;    5.0;eor
135,       4336;19510516;-999;-999;-999;    5;   6.6;   1;-999;   0;   7.7;   9.1;    -999;    7.2;   90.00;    9.3;    4.9;    5.3;eor
136,       4336;19510517;-999;-999;-999;    5;   0.2;   1;-999;   0;   6.0;  10.1;    -999;   10.2;   84.00;   13.0;    4.4;    4.7;eor
137,       4336;19510518;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.7;  10.9;    -999;   11.2;   81.00;   16.5;    6.8;    6.4;eor
138,       4336;19510519;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;  12.5;    -999;   15.3;   73.00;   20.5;    6.9;    6.4;eor
139,       4336;19510520;-999;-999;-999;    5;   0.6;   1;-999;   0;   6.7;  12.0;    -999;   11.7;   86.00;   15.4;    9.6;    8.7;eor
140,       4336;19510521;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;  11.2;    -999;   13.0;   75.00;   18.0;   10.2;    8.1;eor
141,       4336;19510522;-999;-999;-999;    5;   0.2;   1;-999;   0;   4.7;  11.3;    -999;   12.1;   78.00;   18.8;    7.5;    5.5;eor
142,       4336;19510523;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;  11.1;    -999;   17.5;   56.00;   22.5;    8.2;    4.5;eor
143,       4336;19510524;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.3;  15.1;    -999;   21.1;   60.00;   26.6;   11.0;    9.0;eor
144,       4336;19510525;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.0;  14.9;    -999;   18.0;   70.00;   22.0;   14.5;   11.3;eor
145,       4336;19510526;-999;-999;-999;    5;   5.0;   1;-999;   0;   6.0;  15.5;    -999;   17.0;   79.00;   21.5;   11.5;   10.5;eor
